from ,alg      ,to ,time
ha   ,         ,hb ,"0,13"
ah   ,         ,bh ,"0,13"
aa   ,x        ,aa ,"0,23"
aa   ,y        ,aa ,"0,23"
aa   ,z        ,aa ,"0,23"
aa   ,x'       ,aa ,"0,23"
aa   ,y'       ,aa ,"0,23"
aa   ,z'       ,aa ,"0,23"
af   ,         ,aD ,"0,1"
af   ,         ,aF ,"0,1"
fa   ,         ,Da ,"0,1"
fa   ,         ,Fa ,"0,1"
Fa   ,         ,Ma ,"0,08"
Ma   ,         ,Fa ,"0,08"
aF   ,         ,aM ,"0,08"
aM   ,         ,aF ,"0,08"
     ,         ,   ,
aF   ,#right_U ,bF ,"0,1"
aF   ,U2       ,bF ,#right_U2
aF   ,U'       ,bF ,"0,13"
aF   ,#right_u ,bF ,"0,17"
aF   ,u2       ,bF ,#right_u2
aF   ,u'       ,bF ,"0,2"
aF   ,D        ,bF ,"0,2"
aF   ,D2       ,bF ,"0,2"
aF   ,D'       ,bF ,"0,15"
aF   ,d        ,bF ,"0,2"
aF   ,d2       ,bF ,"0,3"
aF   ,d'       ,bF ,"0,2"
hF   ,F        ,hF ,"0,22"
FF   ,F        ,FF ,"0,15"
DF   ,F        ,DF ,"0,15"
hU   ,U        ,hU ,"0,2"
hD   ,F        ,hD ,"0,15"
hD   ,F2       ,hD ,"0,17"
hF   ,F'       ,hf ,"0,17"
hD   ,F'       ,hf ,"0,15"
hB   ,R'       ,hU ,"0,15"
hU   ,R'       ,hF ,"0,1"
hF   ,R'       ,hD ,"0,1"
hD   ,R'       ,hP ,"0,15"
hP   ,R        ,hD ,"0,15"
hD   ,R        ,hF ,"0,1"
hF   ,R        ,hU ,"0,1"
hU   ,R        ,hB ,"0,15"
hB   ,R2       ,hF ,"0,2"
hF   ,R2       ,hB ,"0,2"
hF   ,R2       ,hP ,"0,2"
hP   ,R2       ,hF ,"0,2"
hU   ,R2       ,hD ,"0,15"
hD   ,R2       ,hU ,"0,15"
hf   ,R        ,hF ,"0,2"
     ,         ,   ,
Fa   ,#left_U' ,Fb ,"0,1"
Fa   ,U2       ,Fb ,#left_U2
Fa   ,U        ,Fb ,"0,13"
Fa   ,#left_u' ,Fb ,"0,17"
Fa   ,u2       ,Fb ,#left_u2
Fa   ,u        ,Fb ,"0,2"
Fa   ,D'       ,Fb ,"0,2"
Fa   ,D2       ,Fb ,"0,2"
Fa   ,D        ,Fb ,"0,15"
Fa   ,d'       ,Fb ,"0,2"
Fa   ,d2       ,Fb ,"0,3"
Fa   ,d        ,Fb ,"0,2"
Fh   ,F'       ,Fh ,"0,22"
FF   ,F'       ,FF ,"0,15"
FD   ,F'       ,FD ,"0,15"
Uh   ,U'       ,Uh ,"0,2"
Dh   ,F'       ,Dh ,"0,15"
Dh   ,F2       ,Dh ,"0,17"
Fh   ,F        ,fh ,"0,17"
Dh   ,F        ,fh ,"0,15"
Bh   ,L        ,Uh ,"0,15"
Uh   ,L        ,Fh ,"0,1"
Fh   ,L        ,Dh ,"0,1"
Dh   ,L        ,Ph ,"0,15"
Ph   ,L'       ,Dh ,"0,15"
Dh   ,L'       ,Fh ,"0,1"
Fh   ,L'       ,Uh ,"0,1"
Uh   ,L'       ,Bh ,"0,15"
Bh   ,L2       ,Fh ,"0,2"
Fh   ,L2       ,Bh ,"0,2"
Fh   ,L2       ,Ph ,"0,2"
Ph   ,L2       ,Fh ,"0,2"
Uh   ,L2       ,Dh ,"0,15"
Dh   ,L2       ,Uh ,"0,15"
fh   ,L'        ,Fh ,"0,2"
     ,         ,   ,
//   ,#M'      ,// ,"0,1"
hM   ,M'       ,hM ,#right_M'
hM   ,M2       ,hM ,#right_M2
hM   ,M        ,hM ,#right_M
Mh   ,M'       ,Mh ,#left_M'
Mh   ,M2       ,Mh ,#left_M2
Mh   ,M        ,Mh ,#left_M
     ,         ,   ,
hF   ,r2       ,hB ,"0,35"
hF   ,r        ,hU ,"0,2"
hF   ,r'       ,hD ,"0,2"
hU   ,r2       ,hD ,"0,3"
hU   ,r        ,hB ,"0,25"
hU   ,r'       ,hF ,"0,2"
hD   ,r2       ,hU ,"0,3"
hD   ,r        ,hF ,"0,2"
hD   ,r'       ,hP ,"0,25"
     ,         ,   ,
Fh   ,l2       ,Bh ,"0,35"
Fh   ,l'       ,Uh ,"0,2"
Fh   ,l        ,Dh ,"0,2"
Uh   ,l2       ,Dh ,"0,3"
Uh   ,l'       ,Bh ,"0,25"
Uh   ,l        ,Fh ,"0,2"
Dh   ,l2       ,Uh ,"0,3"
Dh   ,l'       ,Fh ,"0,2"
Dh   ,l        ,Ph ,"0,25"